product_name,image_link,rating,price,number_of_ratings,product_link,price_before_discount,brand,operating_system,RAM,CPU,storage,screen_size,cellular_technology,model_name,cpu_model,available_colors
BLU G63 | 2023 | 3-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 128/4GB | Dual 13MP Camera | US Version | US Warranty | Green,https://m.media-amazon.com/images/I/71EAB02TrzL._AC_UL320_.jpg,3.8 out of 5 stars,89.99,88,/BLU-Battery-Unlocked-Infinity-Warranty/dp/B0CSF1MRRR/ref=sr_1_158?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-158,$129.99,BLU,Android 13.0,,1.6 GHz,128 GB,6.8 Inches,4G,G63,Cortex,
"SAMSUNG Galaxy S21 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, 120Hz Display Screen, Pro Grade Camera, All Day Intelligent Battery, US Version, 2022, White",https://m.media-amazon.com/images/I/61kLsk8RslL._AC_UL320_.jpg,4.5 out of 5 stars,339.99,"14,904",/Samsung-Factory-Unlocked-Smartphone-Intelligent/dp/B09BFRV59N/ref=sr_1_159?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-159,,SAMSUNG,Android,6 GB,,128 GB,6.4 Inches,"GSM, LTE, 5G",Galaxy S21 FE,,"Cloud Lavender, Cloud Navy, Cloud Red, Graphite, Olive, White"
Samsung Galaxy A55 5G A556E 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin Variant/US Compatible LTE) - Awesome Navy,https://m.media-amazon.com/images/I/61s7W4UjnoL._AC_UL320_.jpg,4.3 out of 5 stars,299.35,37,/A55-Dual-SIM-Unlocked-Smartphone-Compatible/dp/B0CYHL1J6M/ref=sr_1_163?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-163,,SAMSUNG,Android 13.0,8 GB,2.75 GHz,128 GB,6.6 Inches,,Samsung Galaxy A55 5G,Cortex A7,
"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Silver - Unlocked (Renewed)",https://m.media-amazon.com/images/I/61rFdJmzKSL._AC_UL320_.jpg,3.9 out of 5 stars,299.99,721,/Galaxy-S21-Ultra-5G-Smartphone/dp/B096T6JJ6J/ref=sr_1_164?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-164,,SAMSUNG,Android,12 GB,2.84 GHz,128 GB,6.8 Inches,,Galaxy S21 Ultra,Snapdragon,
"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Pink - Unlocked (Renewed)",https://m.media-amazon.com/images/I/61YgX12EuXL._AC_UL320_.jpg,4.1 out of 5 stars,198.99,955,/Samsung-Galaxy-S21-5G-Version/dp/B08X2MS5SC/ref=sr_1_165?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-165,$217.00,Samsung,Android 11.0,128 GB,3.4 MHz,128 GB,6.2 Inches,,Samsung S21,Snapdragon,
"Samsung Electronics Samsung Galaxy S21 Ultra 5G | Factory Unlocked Android Cell Phone | US Version 5G Smartphone | Pro-Grade Camera, 108MP High Res | 128GB, Black (SM-G998UZKAXAA) (Renewed)",https://m.media-amazon.com/images/I/91BVnL9M4lL._AC_UL320_.jpg,3.8 out of 5 stars,278.00,202,/Electronics-Unlocked-Smartphone-Pro-Grade-SM-G998UZKAXAA/dp/B08VL1Q7Z1/ref=sr_1_166?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-166,$308.96,SAMSUNG,Android,,,128 GB,6.8 Inches,5G,Galaxy S21 Ultra 5G,,
BLU Z5 -GSM Unlocked Dual Sim -Black,https://m.media-amazon.com/images/I/71CCFMM6CCL._AC_UL320_.jpg,3.2 out of 5 stars,22.99,"3,275",/BLU-GSM-Unlocked-Dual-Black/dp/B07MZDNBDJ/ref=sr_1_167?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-167,,BLU,android,32 MB,,32 GB,1.8 Inches,Gsm,Z5,,"BLUE, Black, CYAN, Coral, Green, White"
Straight Talk Apple iPhone 7 32GB - Silver,https://m.media-amazon.com/images/I/5189pnYq1iL._AC_UL320_.jpg,3.8 out of 5 stars,89.62,67,/Straight-Talk-Apple-iPhone-32GB/dp/B0CCSF3WML/ref=sr_1_168?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-168,$99.74,Straight Talk,iOS 14,2 GB,2.34 GHz,32 GB,4.7 Inches,4G,iPhone 7,,
"Samsung Galaxy S10e (128GB, 6GB) 5.8"" AMOLED 4G LTE T-Mobile G970 (Prism Black) (Renewed)",https://m.media-amazon.com/images/I/71bK3oKRCOL._AC_UL320_.jpg,4.3 out of 5 stars,121.61,111,/Samsung-Galaxy-AMOLED-T-Mobile-Renewed/dp/B0BQBTD14R/ref=sr_1_169?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-169,$144.99,SAMSUNG,Android 9.0,,,128 GB,5.8 Inches,LTE,Galaxy S10e,,Prism Black
SAMSUNG Galaxy S23 Ultra 5G Factory Unlocked 256GB - Phantom Black (Renewed),https://m.media-amazon.com/images/I/51qtXkmbvYL._AC_UL320_.jpg,4.1 out of 5 stars,679.94,219,/SAMSUNG-Galaxy-S23-Ultra-Unlocked/dp/B0C544TBQM/ref=sr_1_170?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-170,,SAMSUNG,Android,8 GB,,256 GB,6.8 Inches,,Galaxy S23 Ultra 256GB Phantom Black Unlocked,,Phantom Black
"Samsung Galaxy Note 10+, 256GB, Aura Black - Fully Unlocked (Renewed)",https://m.media-amazon.com/images/I/517MGkvMhXL._AC_UL320_.jpg,4.2 out of 5 stars,279.00,"2,945",/Samsung-Galaxy-Note-256GB-Black/dp/B0845ZVJW3/ref=sr_1_171?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-171,$299.99,SAMSUNG,Android 9.0,8 GB,,256 GB,6.8 Inches,"2G, 3G, 4G, LTE, GSM, CDMA",Galaxy Note 10 Plus,Snapdragon,Aura Black
"Apple iPhone 14 Pro, 128GB, Space Black - Unlocked (Renewed Premium)",https://m.media-amazon.com/images/I/41al5-lNvML._AC_UL320_.jpg,4.2 out of 5 stars,709.97,753,/Apple-iPhone-14-Pro-128GB/dp/B0BYLJYN36/ref=sr_1_172?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-172,,Apple,iOS 16,6 GB,,128 GB,6.1 Inches,5G,iPhone 14 Pro,,"Deep Purple, Gold, Sliver, Space Black"
"Google Pixel 5 5G, US Version, 128GB, Just Black - Unlocked (Renewed)",https://m.media-amazon.com/images/I/516wyv8wYGL._AC_UL320_.jpg,3.9 out of 5 stars,178.00,"2,296",/Unlocked-Google-Pixel-GA01316-US-Renewed/dp/B08MV7HWFK/ref=sr_1_173?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-173,$269.99,Google,Android 11.0,128 GB,,64 GB,6 Inches,5G,Pixel 5,,"Just Black, Sorta Sage"
"Samsung Galaxy Note 10+, 256GB, Aura Glow Silver - Fully Unlocked (Renewed)",https://m.media-amazon.com/images/I/51eOhGOaHQL._AC_UL320_.jpg,4.3 out of 5 stars,295.00,"6,614",/Samsung-Galaxy-Note-256GB-Silver/dp/B08KRKFHGV/ref=sr_1_174?dib=eyJ2IjoiMSJ9.3mpV-QTmEWWm7xnhvgGS18rCz8fiO0ml9Yl6zu60IuCkvIW0VV2yTcM8f-TtkScNtwv7tejqnHfOLWW1IwQrd3ksGgcbKYH8M4l8j3jlagvcx2sMEI2ZilF4HvkoXRq6BZtLVpBKx-IdfN3uzRMlNYNdK0PzT3b6vaTbAq2bM7hW8IzwNtcwMuRhv5AUZqLY1JPbP6jy1xFEuiU4G77xM4lbwxcKK-X6xLHRUH4jZ19wNEl0rFRXIsJZe_pdQYHlS0FMm09QylzlusonwV6n8HCx_MgAPyj8fSOsGLDuSyo.pj0h6TApMwpdWDtfP8bM_Mc2vIXtkheywsf_R0ebLMk&dib_tag=se&qid=1725956058&s=wireless&sr=1-174,,SAMSUNG,Android 9.0,12 GB,,256 GB,6.8 Inches,"GSM,CDMA,HSPA,EVDO,LTE",Galaxy Note 10 Plus,Snapdragon,"Aura Black, Aura Blue, Aura Glow, Aura White, Silver"
"Samsung Galaxy A32 (5G) 64GB A326U (T-Mobile/Sprint Unlocked) 6.5"" Display Quad Camera Long Lasting Battery Smartphone - Black (Renewed)",https://m.media-amazon.com/images/I/61wXWc-NAmL._AC_UL320_.jpg,4.0 out of 5 stars,114.00,"1,023",/Samsung-Galaxy-A32-T-Mobile-Smartphone/dp/B09B1NY84G/ref=sr_1_172?dib=eyJ2IjoiMSJ9.V5Fr4txIS7EKHmcLPErP2F9sYPOx2iTjCohYcv_63VarJFW-pWADb0OEH8TqfIfFK_MhMKPfrQmp3P9aMectF-e6wfRwfrnFOxwrrYbq__MKp1sTGK67Ppk5_RAP4l28I3mBHLA3NELI4rTUPHFDm9qF8q9veK0_G38CZqolNZ4p0RxqT-w71eO-tYxcWBxmjWbFzeOGsIKVMdlD-WbD3Gd_fMB5XR5urEMLAe2cz1B--yTXyyYs4hjQIKI-8ozfoZqnWjgzipB8KKX4YDMGWrFXxiRNsmn3EP8nvUREQdk.NsWdrspGaNcD0l7xR_f6FkHc_12VNUOFoepBivZlmEY&dib_tag=se&qid=1725956600&s=wireless&sr=1-172,$199.72,SAMSUNG,Android 11.0,64 GB,,64 GB,6.5 Inches,5G,Galaxy A32 5G,,Awesome Black
motorola Moto G Play 2023 3-Day Battery Unlocked Made for US 3/32GB 16MP Camera Navy Blue (Renewed),https://m.media-amazon.com/images/I/61omq7WKOzL._AC_UL320_.jpg,4.0 out of 5 stars,75.00,285,/motorola-Play-Battery-Unlocked-Renewed/dp/B0C5BHVCSJ/ref=sr_1_173?dib=eyJ2IjoiMSJ9.V5Fr4txIS7EKHmcLPErP2F9sYPOx2iTjCohYcv_63VarJFW-pWADb0OEH8TqfIfFK_MhMKPfrQmp3P9aMectF-e6wfRwfrnFOxwrrYbq__MKp1sTGK67Ppk5_RAP4l28I3mBHLA3NELI4rTUPHFDm9qF8q9veK0_G38CZqolNZ4p0RxqT-w71eO-tYxcWBxmjWbFzeOGsIKVMdlD-WbD3Gd_fMB5XR5urEMLAe2cz1B--yTXyyYs4hjQIKI-8ozfoZqnWjgzipB8KKX4YDMGWrFXxiRNsmn3EP8nvUREQdk.NsWdrspGaNcD0l7xR_f6FkHc_12VNUOFoepBivZlmEY&dib_tag=se&qid=1725956600&s=wireless&sr=1-173,$99.99,Motorola,Android,3 GB,,32 GB,6.5 Inches,2G,Moto G Play (2023),,Navy Blue
"Apple iPhone 15 Pro Max, 256GB, Black Titanium - Unlocked (Renewed Premium)",https://m.media-amazon.com/images/I/31+hYY59fPL._AC_UL320_.jpg,3.6 out of 5 stars,999.00,16,/Apple-iPhone-256GB-Black-Titanium/dp/B0CRJJBBPY/ref=sr_1_174?dib=eyJ2IjoiMSJ9.V5Fr4txIS7EKHmcLPErP2F9sYPOx2iTjCohYcv_63VarJFW-pWADb0OEH8TqfIfFK_MhMKPfrQmp3P9aMectF-e6wfRwfrnFOxwrrYbq__MKp1sTGK67Ppk5_RAP4l28I3mBHLA3NELI4rTUPHFDm9qF8q9veK0_G38CZqolNZ4p0RxqT-w71eO-tYxcWBxmjWbFzeOGsIKVMdlD-WbD3Gd_fMB5XR5urEMLAe2cz1B--yTXyyYs4hjQIKI-8ozfoZqnWjgzipB8KKX4YDMGWrFXxiRNsmn3EP8nvUREQdk.NsWdrspGaNcD0l7xR_f6FkHc_12VNUOFoepBivZlmEY&dib_tag=se&qid=1725956600&s=wireless&sr=1-174,"$1,099.00",Apple,iOS 16,8 GB,,256 GB,6.7 Inches,5G,iPhone 15 Pro Max,,
"Samsung Galaxy S22 Ultra 5G Factory Unlocked Android Smartphone, 128GB, US Version, Burgundy (Renewed)",https://m.media-amazon.com/images/I/71Wkk4n9olL._AC_UL320_.jpg,3.6 out of 5 stars,426.00,164,/Samsung-Factory-Unlocked-Smartphone-Burgundy/dp/B09VB83YHH/ref=sr_1_175?dib=eyJ2IjoiMSJ9.V5Fr4txIS7EKHmcLPErP2F9sYPOx2iTjCohYcv_63VarJFW-pWADb0OEH8TqfIfFK_MhMKPfrQmp3P9aMectF-e6wfRwfrnFOxwrrYbq__MKp1sTGK67Ppk5_RAP4l28I3mBHLA3NELI4rTUPHFDm9qF8q9veK0_G38CZqolNZ4p0RxqT-w71eO-tYxcWBxmjWbFzeOGsIKVMdlD-WbD3Gd_fMB5XR5urEMLAe2cz1B--yTXyyYs4hjQIKI-8ozfoZqnWjgzipB8KKX4YDMGWrFXxiRNsmn3EP8nvUREQdk.NsWdrspGaNcD0l7xR_f6FkHc_12VNUOFoepBivZlmEY&dib_tag=se&qid=1725956600&s=wireless&sr=1-175,,SAMSUNG,Android,8 GB,,8 GB,6.8 Inches,5G,Galaxy S22 Ultra 5G,,Burgundy
"Xiaomi Redmi Note 13 4G LTE (256GB + 8GB) 6.67"" 108MP Triple (Tmobile Mint Tello Global) Global Bands Unlocked + (Fast Car Dual Charger Bundle) (MidnightBlack Global ROM)",https://m.media-amazon.com/images/I/41UZCtYsNOL._AC_UL320_.jpg,4.4 out of 5 stars,161.98,142,/Xiaomi-Tmobile-Unlocked-Charger-MidnightBlack/dp/B0CSDWT13K/ref=sr_1_176?dib=eyJ2IjoiMSJ9.V5Fr4txIS7EKHmcLPErP2F9sYPOx2iTjCohYcv_63VarJFW-pWADb0OEH8TqfIfFK_MhMKPfrQmp3P9aMectF-e6wfRwfrnFOxwrrYbq__MKp1sTGK67Ppk5_RAP4l28I3mBHLA3NELI4rTUPHFDm9qF8q9veK0_G38CZqolNZ4p0RxqT-w71eO-tYxcWBxmjWbFzeOGsIKVMdlD-WbD3Gd_fMB5XR5urEMLAe2cz1B--yTXyyYs4hjQIKI-8ozfoZqnWjgzipB8KKX4YDMGWrFXxiRNsmn3EP8nvUREQdk.NsWdrspGaNcD0l7xR_f6FkHc_12VNUOFoepBivZlmEY&dib_tag=se&qid=1725956600&s=wireless&sr=1-176,$169.99,Xiaomi,MIUI 14,8 GB,,256 GB,6.67 Inches,4G,Note 13 4G,,"Ice Blue Global ROM, MidnightBlack Global ROM, Mint Green (Global ROM)"
Apple iPhone 11 64GB - Unlocked - 6.1-inch - White (Renewed),https://m.media-amazon.com/images/I/41WsaMyJAqL._AC_UL320_.jpg,4.2 out of 5 stars,267.00,477,/Apple-iPhone-11-64GB-Unlocked/dp/B08126B44P/ref=sr_1_177?dib=eyJ2IjoiMSJ9.V5Fr4txIS7EKHmcLPErP2F9sYPOx2iTjCohYcv_63VarJFW-pWADb0OEH8TqfIfFK_MhMKPfrQmp3P9aMectF-e6wfRwfrnFOxwrrYbq__MKp1sTGK67Ppk5_RAP4l28I3mBHLA3NELI4rTUPHFDm9qF8q9veK0_G38CZqolNZ4p0RxqT-w71eO-tYxcWBxmjWbFzeOGsIKVMdlD-WbD3Gd_fMB5XR5urEMLAe2cz1B--yTXyyYs4hjQIKI-8ozfoZqnWjgzipB8KKX4YDMGWrFXxiRNsmn3EP8nvUREQdk.NsWdrspGaNcD0l7xR_f6FkHc_12VNUOFoepBivZlmEY&dib_tag=se&qid=1725956600&s=wireless&sr=1-177,$299.99,Apple,,,,64 GB,6.1 Inches,,iPhone 11,,
"SAMSUNG Galaxy Z Flip 6 AI Cell Phone, 512GB Unlocked Android Smartphone, FlexCam, Photo Assist, Camcorder Mode, Live Interpreter, Foldable Design, 2024, US 1 Yr Manufacturer Warranty, Silver Shadow",https://m.media-amazon.com/images/I/51+tXs+7RcL._AC_UL320_.jpg,4.2 out of 5 stars,949.99,81,/SAMSUNG-Smartphone-Camcorder-Interpreter-Manufacturer/dp/B0D19B2D19/ref=sr_1_178?dib=eyJ2IjoiMSJ9.V5Fr4txIS7EKHmcLPErP2F9sYPOx2iTjCohYcv_63VarJFW-pWADb0OEH8TqfIfFK_MhMKPfrQmp3P9aMectF-e6wfRwfrnFOxwrrYbq__MKp1sTGK67Ppk5_RAP4l28I3mBHLA3NELI4rTUPHFDm9qF8q9veK0_G38CZqolNZ4p0RxqT-w71eO-tYxcWBxmjWbFzeOGsIKVMdlD-WbD3Gd_fMB5XR5urEMLAe2cz1B--yTXyyYs4hjQIKI-8ozfoZqnWjgzipB8KKX4YDMGWrFXxiRNsmn3EP8nvUREQdk.NsWdrspGaNcD0l7xR_f6FkHc_12VNUOFoepBivZlmEY&dib_tag=se&qid=1725956600&s=wireless&sr=1-178,"$1,219.99",SAMSUNG,"Android 14,Oneui 6.1",12 GB,3.4 GHz,512 GB,6.7 Inches,5G,Galaxy Z Flip6,,"Blue, Mint, Silver, Yellow"
"Yoidesu XS15 3G Mini Smartphone, 3in Super Small Cell Phone, Dual SIM 2GB 16GB ROM for Android 8.1 Ultra Thin Mobile Phone, 1000mAh The World's Smallest Backup",https://m.media-amazon.com/images/I/51QsuogqirL._AC_UL320_.jpg,3.1 out of 5 stars,49.69,35,/Yoidesu-Smartphone-Android-1000mAh-Smallest/dp/B0CD4KGC91/ref=sr_1_179?dib=eyJ2IjoiMSJ9.V5Fr4txIS7EKHmcLPErP2F9sYPOx2iTjCohYcv_63VarJFW-pWADb0OEH8TqfIfFK_MhMKPfrQmp3P9aMectF-e6wfRwfrnFOxwrrYbq__MKp1sTGK67Ppk5_RAP4l28I3mBHLA3NELI4rTUPHFDm9qF8q9veK0_G38CZqolNZ4p0RxqT-w71eO-tYxcWBxmjWbFzeOGsIKVMdlD-WbD3Gd_fMB5XR5urEMLAe2cz1B--yTXyyYs4hjQIKI-8ozfoZqnWjgzipB8KKX4YDMGWrFXxiRNsmn3EP8nvUREQdk.NsWdrspGaNcD0l7xR_f6FkHc_12VNUOFoepBivZlmEY&dib_tag=se&qid=1725956600&s=wireless&sr=1-179,$53.73,Yoidesu,Android 8.1,2 GB,,16 GB,3 Inches,2G,Yoidesua5tdmp4n0k-11,,"Black, Blue, Violet"
